lemma	domains	subdomains	definitions
πλατυνω	'[''Spacial Dimensions'', ''Attitudes and Emotions'']'	'[''Narrow, Wide'', ''Love, Affection, Compassion'']'	'[''to cause something to be wide'', ''(an idiom, literally: to broaden the heart) to make evident that one has affection for someone'']'
πλατυς	'[''Spacial Dimensions'', ''Geographical Objects and Features'']'	'[''Narrow, Wide'', ''Thoroughfares: Roads, Streets, Paths, etc.'']'	'[''pertaining to being wide'', ''a wide street within a city'']'
πλατυσμός	'[''Artifacts'']'	'[''Shapes'']'	the act of making broad or flat
πλείων	'[''Comparison'']'	'[''More Than, Less Than [Comparative Degree]'']'	greater in number or amount
πλεοναζω	'[''Quantity'', ''Degree'', ''Quantity'', ''Possess, Transfer, Exchange'']'	'[''Increase, Decrease'', ''More Than, Less Than [Comparative Degree]'', ''Abundance, Excess, Sparing'', ''Have Sufficient'']'	'[''to increase considerably the extent of an activity or state, with the implication of the result being an abundance'', ''to cause an increase in the degree of some experience or state{N:001}'', ''to exist or be in abundance'', ''to have more than enough to meet one’s needs'']'
πλεονάκις	'[''Quantity'']'	'[''Number, Countless'', ''A Point of Time without Reference to Other Points of Time: Time, Occasion, Ever, Often'']'	occurring often or in greater number
πλεονεξια	'[''Attitudes and Emotions'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Desire Strongly'', ''Exploit'']'	'[''a strong desire to acquire more and more material possessions or to possess more things than other people have, all irrespective of need'', ''to take advantage of someone, usually as the result of a motivation of greed'']'
πλευρόν	'[''Body, Body Parts, and Body Products'']'	'[''Parts of the Body'']'	the side of the body or a rib bone
πληγη	'[''Physical Impact'', ''Violence, Harm, Destroy, Kill'', ''Physiological Processes and States'', ''Trouble, Hardship, Relief, Favorable Circumstances'']'	'[''Hit, Strike'', ''Harm, Wound'', ''Sickness, Disease, Weakness'', ''Trouble, Hardship, Distress'']'	'[''to strike or hit an object, one or more times'', ''the condition resulting from being severely hurt or wounded{N:001}'', ''a widespread contagious disease, often associated with divine retribution'', ''(a figurative extension of meaning of {L:πληγή<SDBG:πληγή:000002>}[c] ‘plague,’ {D:23.158}) a type of trouble or distress causing widespread and/or intense suffering'']'
πληθος	'[''Quantity'', ''Groups and Classes of Persons and Members of Such Groups and Classes'']'	'[''Many, Few [Countables]'', ''General'']'	'[''a large number of countable objects or events, with the probable implication of some type of grouping'', ''a casual non-membership group of people, fairly large in size and assembled for whatever purpose{N:001}'']'
πληθυνω	'[''Quantity'', ''Quantity'']'	'[''Increase, Decrease'', ''Increase, Decrease'']'	'[''to increase greatly in number or extent'', ''to cause an increase in the number of objects'']'
πλήθω	'[''Quantity'']'	'[''Full, Empty'']'	to be abundant or filled up
πλημμέλεια	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Sin, Wrongdoing, Guilt'']'	an act of misconduct or offense
πλημμελέω	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Act Lawlessly'']'	to act improperly or in error
πλην	'[''Relations'', ''Relations'']'	'[''Contrast'', ''Contrast'']'	'[''a marker of contrast, implying the validity of something irrespective of other considerations'', ''a marker of sets of items in contrast with one another'']'
πληρης	'[''Quantity'', ''Quantity'', ''Quantity'']'	'[''Full, Empty'', ''All, Any, Each, Every [Totality]'', ''Many, Few [Countables]'']'	'[''a quantity of space completely occupied by something'', ''a totality which has been brought to completion'', ''pertaining to a particularly large number of objects or events'']'
πληροω	'[''Quantity'', ''Quantity'', ''Aspect'', ''Help, Care For'', ''Communication'', ''Communication'', ''Be, Become, Exist, Happen'', ''Think'', ''Time'', ''Degree'']'	'[''Full, Empty'', ''All, Any, Each, Every [Totality]'', ''Complete, Finish, Succeed'', ''Provide For, Support'', ''Inform, Announce'', ''Interpret, Mean, Explain'', ''Happen'', ''To Think, Thought'', ''A Point of Time with Reference to Duration of Time: Beginning, End'', ''Completely, Enough [Completive Degree]'']'	'[''(derivative of {L:πλήρης<SDBG:πλήρης:000000>}[a] ‘full,’ {D:59.35}) to cause something to become full'', ''to make something total or complete'', ''to finish an activity after having done everything involved'', ''to provide for by supplying a complete amount'', ''to relate fully the content of a message'', ''to give the true or complete meaning to something'', ''to cause to happen, with the implication of fulfilling some purpose{N:001}'', ''(an idiom, literally: ‘to fill the heart)to cause someone to think in a particular manner, often as a means of inducing some behavior'', ''to come to the end of a period of time, with the implication of the completion of an implied purpose or plan{N:002}'', ''to experience a complete degree of involvement in some event or state'']'
πληρωμα	'[''Quantity'', ''Quantity'', ''Time'']'	'[''Full, Empty'', ''All, Any, Each, Every [Totality]'', ''A Point of Time with Reference to Duration of Time: Beginning, End'']'	'[''a quantity which fills a space'', ''a total quantity, with emphasis upon completeness'', ''the totality of a period of time, with the implication of proper completion{N:001}'']'
πλησιον	'[''Spacial Positions'', ''Groups and Classes of Persons and Members of Such Groups and Classes'']'	'[''At, Beside, Near, Far'', ''Socio-Political'']'	'[''a position quite close to another position, with the possible implication of being contiguous'', ''a person who lives close beside others and who thus by implication is a part of a so-called in-group, that is, the group with which an individual identifies both ethnically and culturally'']'
πλησμονη	'[''Attitudes and Emotions'']'	'[''Desire Strongly'']'	'[''the process of indulging in or procuring the satisfaction of certain desires or needs'']'
πλοιον	'[''Artifacts'']'	'[''Boats and Parts of Boats'']'	'[''any kind of boat, from small fishing boats as on Lake Galilee to large seagoing vessels'']'
πλουσιος	'[''Possess, Transfer, Exchange'', ''Quantity'']'	'[''Be Rich, Be Wealthy'', ''Abundance, Excess, Sparing'']'	'[''pertaining to being rich'', ''pertaining to that which exists in a large amount, with the implication of its being valuable'']'
πλουτεω	'[''Possess, Transfer, Exchange'', ''Possess, Transfer, Exchange'', ''Possess, Transfer, Exchange'', ''Quantity'']'	'[''Be Rich, Be Wealthy'', ''Be Rich, Be Wealthy'', ''Give'', ''Abundance, Excess, Sparing'']'	'[''to have considerably more than what would be regarded as the norm in a society'', ''to prosper to the point of being rich'', ''(a figurative extension of meaning of {L:πλουτέω<SDBG:πλουτέω:000001>}[b] ‘to become rich,’ {D:57.28}) to give generously of one’s wealth'', ''to have a large amount of something which has value'']'
πλουτιζω	'[''Possess, Transfer, Exchange'', ''Quantity'']'	'[''Be Rich, Be Wealthy'', ''Abundance, Excess, Sparing'']'	'[''to cause someone to become rich'', ''to cause someone to have an abundance of that which is of value or worth'']'
πλουτος	'[''Possess, Transfer, Exchange'', ''Degree'']'	'[''Be Rich, Be Wealthy'', ''Much, Little [Positive-Negative Degree]'']'	'[''an abundance of possessions exceeding the norm of a particular society and often with a negative connotation'', ''a high point on any scale and having the implication of value as well as abundance'']'
πλυνω	'[''Activities Involving Liquids or Masses'']'	'[''Use of Liquids'']'	'[''to wash an object which is not a body or part of a body'']'
πνευμα	'[''Supernatural Beings and Powers'', ''Supernatural Beings and Powers'', ''Supernatural Beings and Powers'', ''Supernatural Beings and Powers'', ''Psychological Faculties'', ''Think'', ''Physical Events and States'', ''Physiological Processes and States'', ''Supernatural Beings and Powers'', ''Supernatural Beings and Powers'', ''Attitudes and Emotions'', ''Physiological Processes and States'', ''Moral and Ethical Qualities and Related Behavior'', ''Think'']'	'[''Supernatural Beings'', ''Supernatural Beings'', ''Supernatural Beings'', ''Supernatural Beings'', ''To Think, Thought'', ''Wind'', ''Breathe, Breath'', ''Supernatural Beings'', ''Supernatural Beings'', ''Be Eager, Be Earnest, In a Devoted Manner'', ''Live, Die'', ''Humility'', ''To Decide, To Conclude'']'	'[''a title for the third person of the Trinity, literally: spirit'', ''a supernatural non-material being'', ''an evil supernatural being or spirit'', ''an apparition'', ''the non-material, psychological faculty which is potentially sensitive and responsive to God (πνεῦμα[e] contrasts with {L:σάρξ<SDBG:σάρξ:000005>}[f], {D:26.7}, as an expression of the divine in contrast with the purely human)'', ''(compare {L:πνεῦμα<SDBG:πνεῦμα:000004>}[e] ‘inner being,’ {D:26.9}) an attitude or disposition reflecting the way in which a person thinks about or deals with some matter'', ''air in relatively rapid movement, but without specification as to the force of the movement'', ''a breath of air coming from the lungs'', ''(a fixed phrase) an evil supernatural spirit which is ritually unclean and which causes persons to be ritually unclean'', ''(a fixed phrase equivalent in reference to {L:πνεῦμα<SDBG:πνεῦμα:000002>}[c] ‘demon,’ {D:12.37}, but with specific emphasis upon evil) a supernatural evil being'', ''(an idiom, literally: to boil in the spirit) to show great eagerness toward something'', ''(an idiom, literally: to give over the spirit) to die, with the possible implication of a willing or voluntary act'', ''(an idiom, literally: poor in spirit) pertaining to one who is humble with regard to his own capacities (in the one NT occurrence, namely, {S:04000500300010}, this humility is in relationship to God)'', ''(an idiom, literally: to place in the mind) to engage in the process of deciding'']'
πνέω	'[''Physical Events and States'']'	'[''Breathe, Breath'', ''Wind'']'	to emit air; to breathe or blow as the wind
πνοη	'[''Physical Events and States'', ''Physiological Processes and States'']'	'[''Wind'', ''Breathe, Breath'']'	'[''air in relatively rapid movement, but without specification as to the force of the movement'', ''the process of breathing'']'
ποθεν	'[''Spacial Extensions'', ''Relations'', ''Relations'']'	'[''Extension From a Source'', ''Manner'', ''Cause and/or Reason'']'	'[''extension from a source, with an incorporated interrogative point of reference'', ''a marker of an event indicating how something took place'', ''interrogative expressions of reason'']'
ποιεω	'[''Case'', ''Perform, Do'', ''Be, Become, Exist, Happen'', ''Perform, Do'', ''Perform, Do'', ''Behavior and Related States'', ''Control, Rule'', ''Possess, Transfer, Exchange'', ''Physiological Processes and States'', ''Be, Become, Exist, Happen'', ''Attitudes and Emotions'']'	'[''Agent of a Numerable Event'', ''Do, Perform'', ''State'', ''Work, Toil'', ''Make, Create'', ''Behavior, Conduct'', ''Assign to a Role or Function'', ''Earn, Gain, Do Business'', ''Ripen, Produce Fruit, Bear Seed'', ''Exist'', ''Acceptable To, To Be Pleased With'']'	'[''a marker of an agent relation with a numerable event'', ''to do or perform (highly generic for almost any type of activity)'', ''to cause a state to be{N:002}'', ''to engage in an activity involving considerable expenditure of effort'', ''to produce something new, with the implication of using materials already in existence (in contrast with {L:κτίζω<SDBG:κτίζω:000000>} ‘to create,’ {D:42.35})'', ''to behave or act in a particular way with respect to someone'', ''to cause someone to assume a particular type of function'', ''to gain by means of one’s activity or investment'', ''(an idiom, literally to make fruit) to produce fruit or seed (of plants){N:003}'', ''(an idiom, literally to make fruit) to cause results to exist'', ''(an idiom, literally: to do what is enough) to cause someone to be pleased by doing what will satisfy'']'
